title|releaseyear|duration|rating|genres|language|directors|maincast|plotsummary|imageurl|reviewsone|reviewstwo|reviewsthree|userRating
The Wizard of Oz|1939|102|3.96 out of 5|Adventure, Family, Fantasy|English|Victor Fleming|Judy Garland, Ray Bolger, Jack Haley, Bert Lahr, Frank Morgan|Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.|https://a.ltrbxd.com/resized/sm/upload/sg/ci/yx/3z/the-wizard-of-oz-1200-1200-675-675-crop-000000.jpg?v=2e4b5f6b54|"Yeah it was good but its no Phineas and Ferb Season 2 Episode 56 "Wizard of Odd"|my gal pals and i were absolutely hooting and hollering whenever the hot scarecrow came onscreen to do a silly dance and fall down. we decided scarecrow is a lanky, sensitive, DIY boy who stands in front of you at your roommate’s friend’s house show and at first you’re annoyed but then he notices he’s blocking your view and he apologizes soooo much, maybe even too much, and after the show you joke around with him and laugh when he trips over his own dirty converse laces, and suddenly it’s 2 am and you’re heading home and you think you’re gonna miss him most of all|a kansas horse girl unlearns her homophobia with the help of three gay cosplayers as she goes on a killing spree to stop ann coulter from kidnapping her dog (this movie tenderized me and im in love with life again)
Mr. Smith Goes to Washington|1939|129|4.09 out of 5|Comedy, Drama|English|Frank Capra|James Stewart, Jean Arthur, Claude Rains, Edward Arnold, Guy Kibbee|Naive and idealistic Jefferson Smith, leader of the Boy Rangers, is appointed to the United States Senate by the puppet governor of his state. He soon discovers, upon going to Washington, many shortcomings of the political process as his earnest goal of a national boys camp leads to a conflict with the state political boss.|https://a.ltrbxd.com/resized/sm/upload/ep/yy/ho/c3/mr-smith-goes-to-washington-1200-1200-675-675-crop-000000.jpg?v=e2b1d8b956|YES JIMMY STEWART FUCK THEM UP|don’t mind me — just trying to watch every single movie that the simpsons parodied. will be done in *checks schedule* 96 years|i am convinced that there is no pain in this world that cannot be momentarily remedied by watching a jimmy stewart performance
Gone with the Wind|1939|233|3.84 out of 5|Romance, Drama, War|English|Victor Fleming|Vivien Leigh, Clark Gable, Olivia de Havilland, Leslie Howard, Hattie McDaniel|The spoiled daughter of a Georgia plantation owner conducts a tumultuous romance with a cynical profiteer during the American Civil War and Reconstruction Era.|https://a.ltrbxd.com/resized/sm/upload/dt/xr/d0/7k/gone-with-the-wind-1200-1200-675-675-crop-000000.jpg?v=f2d4fce32b|Frankly, my dear, I cant fucking believe I wasted almost 4 hours of my life watching pro-Confederacy revisionist propaganda. Nor can I believe that, even during the height of Segregation, it was lauded by critics and was nominated for and won an unprecedented number of Academy Awards. Americans are so forgiving of white supremacy when it comes from within our own borders, it just makes me want to vomit.And like, okay, if this were a technically brilliant film with a fantastic script and a director and cast that knocked it out of the park but also super racist and manipulative, this would be an entirely different conversation. But its not! Its a bloated melodrama with basically zero redeeming qualities,…|Girl Takes Eight Years to Take Hint|after 4 hours you could say im... gone with the wind
The Grapes of Wrath|1940|129|4.14 out of 5|Drama|English|John Ford|Henry Fonda, Jane Darwell, John Carradine, Charley Grapewin, Dorris Bowdon|Tom Joad returns to his home after a jail sentence to find his family kicked out of their farm due to foreclosure. He catches up with them on his Uncle’s farm, and joins them the next day as they head for California and a new life... Hopefully.|https://a.ltrbxd.com/resized/sm/upload/i3/cl/ux/az/grapes-wrath-1200-1200-675-675-crop-000000.jpg?v=fcfe8bb1cb|Its hard to imagine that The Grapes of Wrath was ever published in America, let alone made into a Hollywood film. Class consciousness is something rarely seen in the media, but its important that were aware of it. As the film shows, fighting inequality is not about ideology (being a red) but about acknowledging an obvious injustice. John Ford, despite his conservative associations, did make films about unions (see also How Green Was My Valley) and he creates a poetic melancholy in The Grapes of Wrath through the tale of poverty and desperation. His technique is, as always, well considered and his use of shadows and silhouettes creates anonymity amongst the suffering.Its difficult to approach a classic like The Grapes of…|There were no grapes, and no wrath, but there was communism.|“Grapes of Wrath” is a shadow of the American odyssey. As directed by John Ford, the lumbering, towering automobile of the Joad family makes its way across the frontier looking like a wagon train rattling along the Oregon Trail. Where the wagons would leave tin and furniture at the crossings of vast rivers and steep mountains, Ford films piles of discarded sundries on the outskirts of migrant camps in Southern California. As captured by cinematography great Gregg Toland, “Grapes” was, as Ford put it, “a beautifully photographed movie with nothing beautiful in it to shoot.” Toland and Ford switch effortlessly between tones in the film. The Hoovervilles have the sharp edges and claustrophobia of German expressionism. The unending plains and…
Rebecca|1940|130|4.12 out of 5|Mystery, Thriller, Romance|English|Alfred Hitchcock|Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson, Nigel Bruce|Story of a young woman who marries a fascinating widower only to find out that she must live in the shadow of his former wife, Rebecca, who died mysteriously several years earlier. The young wife must come to grips with the terrible secret of her handsome, cold husband, Max De Winter. She must also deal with the jealous, obsessed Mrs. Danvers, the housekeeper, who will not accept her as the mistress of the house.|https://a.ltrbxd.com/resized/sm/upload/pn/yh/kz/jf/rebecca-1200-1200-675-675-crop-000000.jpg?v=62f24b4ad4|  justice for that poor lesbian housekeeper|  mrs danvers invented the psycho lesbian cliché|what made this great for me was joan fontaine’s character having no name, being referred only as darling or mrs. de winter, which ends up making an incredible contrast with the almost ghostly and overly mentioned rebecca. you know you’re that bitch when you cause all this conversation
The Great Dictator|1940|125|4.31 out of 5|War, Comedy|English|Charlie Chaplin|Charlie Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner, Henry Daniell|Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkels regime.|https://a.ltrbxd.com/resized/sm/upload/ck/n5/rt/nb/great-dictator-1200-1200-675-675-crop-000000.jpg?v=a2f935f60f|I will always return to this film for that final monologue.It is one of the most beautifully written speeches ever put to film.|"Im sorry, but I dont want to be an emperor. Thats not my business. I dont want to rule or conquer anyone. I should like to help everyone if possible."That final five minute speech given by Chaplin shows his true genius as a director, actor, and screenwriter. He was capable of understanding better than anyone the social realities he was part of and made one of the best anti-Nazi propaganda films Ive seen. Giving his character who had been silent up to that film such an important speech was such a powerful and historical moment in film history. I dont know why I always believed Chaplin was one of those directors that never managed to handle the transition from…"|Nothing less than a grand and startling picture; Charlie Chaplins The Great Dictator is one of the best films involving Chaplin, even in spite of a somewhat disjointed narrative and some overlong stretches. The sense of melancholy and serene sadness by the end of it continues to send chills down my spine. It may not be perfect, but it certainly is one of the most important films ever made.
Citizen Kane|1941|119|4.21 out of 5|Drama, Mystery|English|Orson Welles|Orson Welles, Joseph Cotten, Dorothy Comingore, Ray Collins, George Coulouris|Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.|https://a.ltrbxd.com/resized/sm/upload/9b/2v/zw/cc/zGutQCLUIQ5LakubDZtfM8s22eA-1200-1200-675-675-crop-000000.jpg?v=c4e0e0922a|i mean... it wasnt as good as shrek 2 (2004) but it was ok|have you guys ever heard of this movie? citizen kane? directed by orson welles? ever heard of it? citizen kane? probably not, its pretty indie|One might call it the Citizen Kane of movies.
To Be or Not to Be|1942|99|4.30 out of 5|Comedy, War|English|Ernst Lubitsch|Carole Lombard, Jack Benny, Robert Stack, Felix Bressart, Lionel Atwill|During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldiers efforts to track down a German spy.|https://a.ltrbxd.com/resized/sm/upload/tq/gh/ag/su/tobeornot-1200-1200-675-675-crop-000000.jpg?v=30acd74a8c|"So they call me Concentration Camp Ehrhardt, eh?"|More transgressive and surprising than Inglourious Basterds.|87/100 A proud, important joke mixed and matched for an hour and a half, but when its subject is so sinister and its execution so multifaceted in delivery and tone balances, it doesnt really matter that each comedic springboard is built off of the same root feelings of anger and frustration. Ernst Lubitsch is pissed off but entirely confident in his storytelling, never relenting from harsh realities but still sly enough to make a smile and a tear one and the same. If any one moment shifted towards the absurd, Lubitsch would dial it back for a more humane, grounded segment, and in a few sections, he even shook the two flavors and moods together for an unpredictable end result…
Casablanca|1942|102|4.27 out of 5|Drama, Romance|English|Michael Curtiz|Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt|In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.|https://a.ltrbxd.com/resized/sm/upload/n5/my/ok/gp/casablanca-1200-1200-675-675-crop-000000.jpg?v=4292711d08|"I hate it when people say stuff like: "You should watch this because its a masterpiece!"Those people are annoying idiots.Also:You should watch this because its a masterpiece!"|"Of all the gin joints, in all the towns, in all the world, she walks into mine."|"i like how i slowly went from "hmmm... this will probably be overhyped" to "lovely movie but im not feeling it" to "thats their song and sam is playing it... again" to "wow, imagine watching this in 1942 when you didnt even know if the Allies would prevail against the Nazis and here they are singing in a bar with fear and courage on their faces" to "WE WILL ALWAYS HAVE PARISSSS" as i fling myself on the couch."
Double Indemnity|1944|107|4.26 out of 5|Crime, Thriller|English|Billy Wilder|Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall, Richard Gaines|A rich woman and a calculating insurance agent plot to kill her unsuspecting husband after he signs a double indemnity policy. Against a backdrop of distinctly Californian settings, the partners in crime plan the perfect murder to collect the insurance, which pays  double if the death is accidental.|https://a.ltrbxd.com/resized/sm/upload/8o/qu/2q/78/double-indemnity-1200-1200-675-675-crop-000000.jpg?v=79571983d4|cautionary tale for simps everywhere|"Every time he says "baby" take a drink."|every film noir: this femme fatale has seduced and murdered 17 peopleme: and i hope she seduces and murders me next!
The Best Years of Our Lives|1946|171|4.21 out of 5|Drama, Romance, War|English|William Wyler|Dana Andrews, Fredric March, Harold Russell, Teresa Wright, Myrna Loy|Its the hope that sustains the spirit of every GI: the dream of the day when he will finally return home. For three WWII veterans, the day has arrived. But for each man, the dream is about to become a nightmare. Captain Fred Derry is returning to a loveless marriage; Sergeant Al Stephenson is a stranger to a family thats grown up without him; and young sailor Homer Parrish is tormented by the loss of his hands. Can these three men find the courage to rebuild their world? Or are the best years of their lives a thing of the past?|https://a.ltrbxd.com/resized/sm/upload/kq/rl/hd/wf/bestyears-1200-1200-675-675-crop-000000.jpg?v=ccd5eeb1fd|The best movie ever made?|"Im struggling to think of what a contemporary equivalent of this would look like.... Something from Hollywood with A-list actors that confronts the emotional and psychological toll of war on fully realized characters while still working as masterfully filmed melodrama... How mentally malnourished are people who hold the (demonstrably false) opinion that new Hollywood movies are somehow more sophisticated than "old ones?" Weve been at war for over a decade and we get a few Lone Survivors a year, but where are the stories about soldiers at home? Too uncomfortable to confront, I suppose."|If this film were to be released today exactly as is, it would still sweep the damn Oscars.A powerful, moving, empathic look at the Greatest Generation and their struggles to re-assimilate into civilian life post-WWII, anchored by a deliberately paced script and heartfelt, intimate performances (including the award-winning turn of Harold Russell, a real life veteran and the first non-professional actor to receive an Academy Award). Despite the relatively simplistic direction by Wyler, this movie is a brilliant testament to the healing of all those returning soldiers who were asked to leave (ahem) the best years of their lives overseas. On both a technical and narrative level, it does nothing unique or innovative, yet it still succeeds in being…
Its a Wonderful Life|1946|130|4.39 out of 5|Family, Drama, Fantasy|English|Frank Capra|James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers|A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is Georges modest building and loan company.  But on Christmas Eve the businesss $8,000 is lost and Georges troubles begin.|https://a.ltrbxd.com/resized/sm/upload/dr/yl/7v/w5/its-a-wonderful-life-1200-1200-675-675-crop-000000.jpg?v=72eb81c504|nobody likes getting the most out of a vowel quite like james stewart|Oh right this is the most iconic Christmas movie because it actually IS the best Christmas movie|This film is a testament to the hypnotic powers all great classics possess. Every time I watch this I want to call my mum to tell her I love her, call my mate I havent seen for far too long to grab a beer and it makes me want to go outside to hand out smiles to everyone I meet.It turns me into the biggest optimistic sap youll ever see and I love it for that!
The Treasure of the Sierra Madre|1948|126|4.28 out of 5|Drama, Western, Adventure|English|John Huston|Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett, Barton MacLane|Fred C. Dobbs and Bob Curtin, both down on their luck in Tampico, Mexico in 1925, meet up with a grizzled prospector named Howard and decide to join with him in search of gold in the wilds of central Mexico. Through enormous difficulties, they eventually succeed in finding gold, but bandits, the elements, and most especially greed threaten to turn their success into disaster.|https://a.ltrbxd.com/resized/sm/upload/fs/wd/b8/f7/the-treasure-of-the-sierra-madre-1200-1200-675-675-crop-000000.jpg?v=5d0a4ccec1|The old prospector is one of the coolest dudes I’ve ever seen|"Rotten Tomatoes: 100%Metacritic Metascore: 98IMDb: 8.296/100Release Date: 24 January 1948Distributor: Warner BrothersBudget: $3MWorldwide Gross: $215KOSCAR Wins: 3OSCAR Nominations: 4Total Film Awards: 13Howard: "Hey you fellas, how bout some beans? You want some beans? Goin through some mighty rough country tomorrow, youd better have some beans."SYNOPSIS: Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.It is beyond me why it took so long to finally view this piece of cinema treasure.TRIVIA: Walter Huston, father of director John Huston, won the Academy Award for Best Supporting Actor. John won for Best Director. This was the…"|A masterwork of outstanding direction, terrific screenplay & brilliant performances, a highly fascinating but equally unsettling illustration of poverty, desperation, greed & its corrupting power, and still retaining all its potency despite being nearly 70 years old, The Treasure of the Sierra Madre is one of American cinemas finest works that not only ranks amongst the best films of the 1940s but is one of the greatest movies ever made.Based on the novel of the same name, the story unfolds in 1920s Mexico and follows a couple of down-on-their-luck Americans who meet an old prospector and convince him to help them mine for gold in the Sierra Madre Mountains. Reluctant at first, the old-timer eventually agrees to the deal and while…
Bicycle Thieves|1948|89|4.31 out of 5|Drama|Italian|Vittorio De Sica|Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Elena Altieri, Gino Saltamerenda|Antonio, an unemployed man in the depressed post-WWII economy of Italy, at last finds a good job hanging up posters, the only requirement for which is that he must have his own bicycle. When Antonio’s bicycle is stolen, he and his son are forced to walk the streets of Rome in search of it, or else face ruin.|https://a.ltrbxd.com/resized/sm/upload/xh/na/ai/0x/bicycle-thieves-1200-1200-675-675-crop-000000.jpg?v=7cd2a52c59|what no bike does to a mf|Lamberto Maggiorani (who plays the lead role of Antonio) was laid off from his job as a factory worker shortly after the film was complete.  The factory required budget cuts and decided to fire Maggiorani because everyone assumed he was a millionaire movie star when he actually made only 600,000 lira (a little over 30,000 US dollars today, counting inflation).  He pretty much spent the rest of his life as a bricklayer desperately trying but failing to land more acting gigs; even de Sica wouldn’t rehire him.  Eventually, he died poor, having never regained the success of his first role.And that is more depressing than the entire film.|I stole a bicycle once. I tried explaining to the cops that I was merely paying homage to post-war Italian neorealism.
The Third Man|1949|104|4.27 out of 5|Mystery, Thriller|English|Carol Reed|Joseph Cotten, Alida Valli, Trevor Howard, Orson Welles, Paul Hörbiger|"In postwar Vienna, Austria, Holly Martins, a writer of pulp Westerns, arrives penniless as a guest of his childhood chum Harry Lime, only to learn he has died. Martins develops a conspiracy theory after learning of a "third man" present at the time of Harrys death, running into interference from British officer Major Calloway, and falling head-over-heels for Harrys grief-stricken lover, Anna."|https://a.ltrbxd.com/resized/sm/upload/sn/qg/8d/0b/the-third-man-1200-1200-675-675-crop-000000.jpg?v=52dac712e8|this movie stole its score from spongebob|OrsonWellesSayingCuckooClock.mp3|Orson Welles says arguably the most evil thing ever uttered on a Ferris wheel
Sunset Boulevard|1950|110|4.44 out of 5|Drama|English|Billy Wilder|William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson, Fred Clark|A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.|https://a.ltrbxd.com/resized/sm/upload/ct/nu/52/r8/sunset-boulevard-1200-1200-675-675-crop-000000.jpg?v=21d44c01af|When I first moved to New York I lived in a rent controlled apartment in Chelsea with a 65 year old woman who used to wake me up at three in the morning to tell me about the 70s and who I’m about 80% sure tried to poison me when I was moving out. Was a very stressful living situation but ultimately it was worth it because it allowed me to understand this movie on a level none of you could ever imagine.|Joe: 🗿Norma Desmond: 😳😩😂😈🥺😦😮🤠🥴😭🤣😍😤😨🤤💀🍅🦵🦶💪👊💅🙅‍♀️👅👄🦷🧨🪛💸⚙️💰🛢🔨🔪🪦⚔️💸💰🗡💊💊🛋🪣🧪🧽🪟🧼🖼🚰🧪🛍📥📉📈📤📜🗃🔒🔒🖤✂️💛⁉️📵🏧🛗♿️🅿️🆒🔠#️⃣6️⃣🔤8️⃣⏹#️⃣🔡⏯🈁🔄🔄🔄🔄🔄🔃➿🔃🟡➗🟡➗🟡🟡🟡🟡✖️🎵♾🟡🟢🔀🟠🔄🟠✖️➗➖🟠🎵🔴🔃™️8️⃣🆕⏯⤵️⤵️🔃🔀©️🎶©️™️🔃®️🎵®️🔄↗️🎵↔️↕️🔚↖️🔚™️⤵️©️♾👁‍🗨®️↔️🔛⬇️🔙🔚↖️↗️™️✖️🟣|  i’m the fact that norma decides to trust joe, a complete stranger, solely due to the fact that he is a sagittarius
Rashomon|1950|88|4.23 out of 5|Crime, Drama, Mystery|Japanese|Akira Kurosawa|Toshirō Mifune, Machiko Kyō, Takashi Shimura, Masayuki Mori, Minoru Chiaki|"Brimming with action while incisively examining the nature of truth, "Rashomon" is perhaps the finest film ever to investigate the philosophy of justice. Through an ingenious use of camera and flashbacks, Kurosawa reveals the complexities of human nature as four people recount different versions of the story of a mans murder and the rape of his wife."|https://a.ltrbxd.com/resized/sm/upload/fj/p1/fz/8h/rashomon-1200-1200-675-675-crop-000000.jpg?v=be65ddef83|"The reading of this film is so often incorrect. Many like to believe it speaks to the notion that several people can view the same incident and interpret it in different ways through no fault of their own, and the different "interpretations" of the incident speak to human subjectivity. But that is not what this film is about. This film is about several people viewing and/or experiencing the same incident and then lying about it to other people because the lie benefits them more than telling the truth. They arent "misinterpreting" the incident - they are lying about it, and they are doing so on purpose. Their "interpretation" of the incident is not what they believe, its what they want…"|"   50/100Blasphemer! But this just plain isnt the radical exercise in subjectivity that its champions claim. "Ive seen so many men getting killed like insects," intones the priest at the outset, "but even I have never heard a story as horrible as this. This time I may finally lose my faith in the human soul." Because people lie for self-serving reasons? Welcome to since ever. The four stories arent (as some folks implicitly suggest) variant good-faith interpretations of an unknowable event, subject to bias and the vagaries of human perception; these accounts are so radically different that three of the four simply have to be lying through their teeth, and its fairly clear that the woodcutters tale, despite his own…"|my third kurosawa. feminist but also totally not, amazing camerawork, overall a good time that’ll probably be stuck in my head for the next few days.
